,release_date,SUM(energy)
0,2015,20875.242639999884
1,2016,20673.012470000056
2,2014,16066.59181999984
3,2017,15016.495848000048
4,2013,13373.321300000109
5,2012,10997.116680000025
6,2011,8925.16496840002
7,2010,7322.976310000002
8,2009,5380.030649999993
9,2008,4853.420077000041
10,2007,4435.54017
11,2006,3845.446959999982
12,2005,3740.220694999988
13,2004,2890.5053000000003
14,2003,2705.0423399999986
15,2002,2295.4624260000064
16,1999,2024.5767200000155
17,2001,2002.3409899999986
18,2000,1753.5614800000099
19,1997,1481.0632501999978
20,1996,1259.31114
21,1994,1201.1613199999986
22,1998,1183.9583303000015
23,1995,1180.5859000000003
24,1991,1027.8738999999994
25,1993,826.8036899999987
26,1987,727.7586100000005
27,1982,718.0962299999991
28,1976,696.5535000000019
29,1980,670.309409999999
30,1992,665.2209600000009
31,1986,624.8881999999998
32,1973,615.4443999999992
33,1983,603.3397999999995
34,1978,601.7203399999999
35,1970,601.2893000000004
36,1977,597.0668000000007
37,1981,595.21197
38,1990,577.8849799999992
39,1984,556.2124200000004
40,1975,548.6788000000004
41,1969,545.2345999999999
42,1979,528.9639000000017
43,1988,485.899999999999
44,1985,472.68228999999945
45,1972,454.45759999999865
46,1989,452.90088
47,1967,441.23209999999943
48,1971,422.0648999999992
49,1968,373.06970000000075
50,1965,270.1525000000007
51,1974,253.05932999999987
52,1966,247.83440000000056
53,1964,181.0372000000002
54,1963,133.29480000000004
55,1962,82.40609999999994
56,1960,64.81400000000001
57,1959,63.30900000000002
58,1961,61.69930000000004
59,1958,55.050760000000054
