,playlist_name,track_name,danceability
0,Party,We Can't Stop,Dance around a bit
1,Party,23,Dance like nobody's watching
2,Party,Do My Thang,Dance like nobody's watching
3,Party,Big Poppa,Dance like nobody's watching
4,Party,Push It,Dance like nobody's watching
5,Party,Ms. Jackson,Dance like nobody's watching
6,Party,So Good,Dance around a bit
7,Party,Wop (Official Version),Dance like nobody's watching
8,Party,Parking Lot Party,Dance around a bit
9,Party,"Happy - From ""Despicable Me 2""",Dance around a bit
10,Party,Waterfalls,Dance like nobody's watching
11,Party,Love On Top,Dance around a bit
12,Party,That Girl,Dance like nobody's watching
13,Party,Knock You Down,Dance around a bit
14,Party,The Man,Dance around a bit
15,Party,Pretty Girl Rock,Dance around a bit
16,Party,Dark Horse,Dance around a bit
17,Party,No Scrubs,Dance like nobody's watching
18,Party,Countdown,Dance around a bit
19,Party,Señorita,Dance like nobody's watching
20,Party,Pusher Love Girl,No Dancing Here
21,Party,You Da One,Dance like nobody's watching
22,Party,Bye Bye Bye,Dance around a bit
23,Party,Say My Name,Dance like nobody's watching
24,Party,California Love - Original Version,Dance like nobody's watching
25,Party,Wannabe - Radio Edit,Dance like nobody's watching
26,Party,Pass Out,Dance around a bit
27,Party,Strip,Dance like nobody's watching
28,Party,Yeah 3x,Dance like nobody's watching
29,Party,Forever,Dance around a bit
30,Party,Good Girls Go Bad (feat. Leighton Meester),Dance around a bit
31,Party,All The Way Turnt Up,Dance around a bit
32,Party,Crank That (Soulja Boy),Dance like nobody's watching
33,Party,Wobble,Dance like nobody's watching
34,Party,Wild Wild Love,Dance around a bit
35,Party,Friends In Low Places,Dance around a bit
36,Party,23,Dance like nobody's watching
37,Party,Trumpets,Dance around a bit
38,Party,Black Widow,Dance like nobody's watching
39,Party,Fancy,Dance like nobody's watching
40,Party,Work,Dance around a bit
41,Party,Shake It Off,Dance around a bit
42,Party,Teach Me How to Dougie,Dance like nobody's watching
43,Party,Trumpets,Dance around a bit
44,Party,My Body,No Dancing Here
45,Party,"Happy - From ""Despicable Me 2""",Dance around a bit
46,Party,Boom Clap,Dance around a bit
47,Party,Chandelier,No Dancing Here
48,Party,Turn Down for What,Dance like nobody's watching
49,Party,Pompeii,Dance around a bit
50,Party,On Top Of The World,Dance around a bit
51,Party,Partition,No Dancing Here
52,Party,Some Nights,Dance around a bit
53,Party,Jubel - Original Mix,Dance around a bit
54,Party,Kids (2 Finger an den Kopf),Dance like nobody's watching
55,Party,Wiggle (feat. Snoop Dogg),Dance around a bit
56,Party,I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],Dance like nobody's watching
57,Party,Rather Be (feat. Jess Glynne),Dance like nobody's watching
58,Party,All Night,Dance around a bit
59,Party,Birthday,Dance like nobody's watching
60,Party,Heroes (we could be),No Dancing Here
61,Party,Izzo (H.O.V.A.),Dance like nobody's watching
62,Party,Love More,Dance like nobody's watching
63,Party,Uptown Funk,Dance like nobody's watching
64,Party,Foreign Remix (feat. Justin Bieber),Dance like nobody's watching
65,Party,Out Of My Head (feat. Trey Songz) - feat. Trey Songz,Dance around a bit
66,Party,Bottoms Up - feat. Nicki Minaj,Dance like nobody's watching
67,Party,No Ordinary Girl,Dance like nobody's watching
68,Party,Got You,Dance like nobody's watching
69,Party,Love Robbery,Dance like nobody's watching
70,Party,Nobody But You,Dance like nobody's watching
71,Party,Feel Like Party'n,Dance like nobody's watching
72,Party,Go To Work,Dance like nobody's watching
73,Party,Do My Step,Dance like nobody's watching
74,Party,Fun,Dance like nobody's watching
75,Party,Fireball,Dance like nobody's watching
76,Party,Time of Our Lives,Dance like nobody's watching
77,Party,This Is Not A Drill,Dance like nobody's watching
78,Party,Give Me Everything,Dance around a bit
79,Party,Have Some Fun,Dance around a bit
80,Party,11:59,Dance like nobody's watching
81,Party,Talk That Talk,Dance around a bit
82,Party,Do Ya Thang,Dance around a bit
83,Party,We Found Love,Dance like nobody's watching
84,Party,New Flame,Dance like nobody's watching
85,Party,Loyal,Dance like nobody's watching
86,Party,Came To Do,Dance like nobody's watching
87,Party,Time For Love,Dance around a bit
88,Party,Fine China,Dance around a bit
89,Party,Turn Up the Music,Dance around a bit
90,Party,Bassline,Dance around a bit
91,Party,Till I Die,Dance like nobody's watching
92,Party,Strip,Dance like nobody's watching
93,Party,Look At Me Now,Dance like nobody's watching
94,Party,Don't Wake Me Up,Dance around a bit
95,Party,She Ain't You,Dance around a bit
