,playlist_name,track_name,danceability
0,Rap,Hold You Down,Dance around a bit
1,Rap,Battle Scars,Dance around a bit
2,Rap,The Seed (2.0),Dance like nobody's watching
3,Rap,Quality Control,Dance like nobody's watching
4,Rap,Never Forget You (feat. John Legend) - feat. John Legend,Dance around a bit
5,Rap,Vocab - Refugees Hip Hop Remix,Dance like nobody's watching
6,Rap,Manifest/Outro,Dance like nobody's watching
7,Rap,Gettin Up,Dance like nobody's watching
8,Rap,Ms. Fat Booty,Dance like nobody's watching
9,Rap,"sex, drugs and violence (featuring KRS-ONE)",Dance like nobody's watching
10,Rap,Words I Never Said (feat. Skylar Grey) - feat. Skylar Grey,No Dancing Here
11,Rap,Millennium,Dance like nobody's watching
12,Rap,Money Maker,Dance like nobody's watching
13,Rap,Tell Me What We're Gonna Do Now,Dance around a bit
14,Rap,Keep Ya Head Up,Dance around a bit
15,Rap,All That I Got Is You,No Dancing Here
16,Rap,If I Ruled the World (Imagine That),Dance like nobody's watching
17,Rap,One Mic,Dance like nobody's watching
18,Rap,Same Love - feat. Mary Lambert,Dance around a bit
19,Rap,"Between Me, You & Liberation",Dance around a bit
20,Rap,The Show Goes On,Dance around a bit
21,Rap,Heartbeat,Dance like nobody's watching
22,Rap,"Young, Wild & Free (feat. Bruno Mars) - feat. Bruno Mars",Dance around a bit
23,Rap,Can I Kick It?,Dance like nobody's watching
24,Rap,Wing$,No Dancing Here
25,Rap,The Man,Dance around a bit
26,Rap,Build Me Up,Dance like nobody's watching
27,Rap,FourFiveSeconds,Dance around a bit
28,Rap,Long Live the Chief,Dance like nobody's watching
29,Rap,Sober,Dance around a bit
30,Rap,Trap Queen,Dance like nobody's watching
31,Rap,I. crawl,Dance around a bit
32,Rap,Next To It (feat. Ty Dolla $ign),Dance like nobody's watching
33,Rap,Hi-Definition (feat. Snoop Dogg & Pooh Bear),No Dancing Here
34,Rap,I Gotcha - Explicit Album Version,Dance around a bit
35,Rap,Sunshine,Dance around a bit
36,Rap,Go Go Gadget Flow,Dance like nobody's watching
37,Rap,Little Weapon (feat. Bishop G and Nikki Jean),Dance like nobody's watching
38,Rap,Hotline Bling,Dance like nobody's watching
39,Rap,The Real Slim Shady,Dance like nobody's watching
40,Rap,Say What You Say,Dance like nobody's watching
41,Rap,Superman,Dance like nobody's watching
42,Rap,Puke,Dance like nobody's watching
43,Rap,Without Me,Dance like nobody's watching
44,Rap,My Name Is,Dance like nobody's watching
45,Rap,Forever,No Dancing Here
46,Rap,Not Afraid,Dance like nobody's watching
47,Rap,Won't Back Down,No Dancing Here
48,Rap,The Monster,Dance like nobody's watching
49,Rap,Stronger Than I Was,Dance like nobody's watching
50,Rap,Rap God,Dance like nobody's watching
51,Rap,The Monster,Dance like nobody's watching
52,Rap,Love The Way You Lie,Dance like nobody's watching
53,Rap,Lose Yourself - Soundtrack Version,Dance like nobody's watching
54,Rap,Wild Ones (feat. Sia),Dance around a bit
55,Rap,I Cry,Dance around a bit
56,Rap,My House,Dance around a bit
57,Rap,Young Jesus,Dance like nobody's watching
58,Rap,Nothing But Trouble - Instagram Models,Dance like nobody's watching
59,Rap,Aquafina (feat. GoldLink & Chaz French),Dance like nobody's watching
60,Rap,Alright,Dance like nobody's watching
61,Rap,County Building Blues,No Dancing Here
62,Rap,Grammys,Dance like nobody's watching
63,Rap,One Dance,Dance like nobody's watching
