,track_name,danceability,COUNT(track_name)
0,Closer,Dance like nobody's watching,299
1,Home,Dance around a bit,205
2,Ride,Dance around a bit,182
3,HUMBLE.,Dance like nobody's watching,178
4,Roses,Dance like nobody's watching,178
5,One Dance,Dance like nobody's watching,175
6,Let Me Love You,No Dancing Here,166
7,Caroline,Dance like nobody's watching,160
8,Congratulations,Dance around a bit,156
9,Broccoli (feat. Lil Yachty),Dance like nobody's watching,151
10,Gold,Dance around a bit,148
11,Bad and Boujee (feat. Lil Uzi Vert),Dance like nobody's watching,147
12,Stay,Dance around a bit,145
13,Panda,Dance like nobody's watching,142
14,Forever,Dance around a bit,140
15,White Iverson,Dance around a bit,140
16,Riptide,No Dancing Here,135
17,Sorry,Dance around a bit,134
18,Trap Queen,Dance like nobody's watching,132
19,Don't Let Me Down,Dance around a bit,131
20,Down,No Dancing Here,131
21,Hello,No Dancing Here,131
22,iSpy (feat. Lil Yachty),Dance like nobody's watching,131
23,Starboy,Dance around a bit,130
24,No Role Modelz,Dance around a bit,129
25,T-Shirt,Dance like nobody's watching,127
26,Bounce Back,Dance like nobody's watching,126
27,Mercy,No Dancing Here,125
28,Location,Dance like nobody's watching,124
29,Mask Off,Dance like nobody's watching,124
30,Redbone,Dance like nobody's watching,124
31,Don't,Dance like nobody's watching,123
32,Blessings,Dance like nobody's watching,122
33,Jumpman,Dance like nobody's watching,122
34,Ignition - Remix,Dance like nobody's watching,121
35,No Problem (feat. Lil Wayne & 2 Chainz),Dance around a bit,121
36,Shape of You,Dance like nobody's watching,121
37,Skinny Love,No Dancing Here,121
38,Unforgettable,Dance like nobody's watching,121
39,goosebumps,Dance like nobody's watching,121
40,Hotline Bling,Dance like nobody's watching,119
41,Gold Digger,Dance around a bit,117
42,Lean On (feat. MØ & DJ Snake),Dance like nobody's watching,117
43,Slide,No Dancing Here,117
44,XO TOUR Llif3,Dance like nobody's watching,117
45,Let It Go,Dance around a bit,116
46,Ni**as In Paris,Dance like nobody's watching,116
47,The Hills,No Dancing Here,115
48,Hurricane,Dance like nobody's watching,114
49,Alright,Dance around a bit,113
50,I'm the One,Dance around a bit,113
51,Waves,Dance around a bit,113
52,Black Beatles,Dance like nobody's watching,112
53,Fake Love,Dance like nobody's watching,112
54,Say It,Dance around a bit,111
55,Despacito - Remix,Dance around a bit,110
56,You,Dance around a bit,110
57,Mr. Brightside,No Dancing Here,109
58,Stronger,Dance like nobody's watching,108
59,That's What I Like,Dance like nobody's watching,108
60,September,Dance around a bit,107
61,All I Want,No Dancing Here,106
62,Antidote,Dance like nobody's watching,105
63,Drive,Dance around a bit,105
64,Thinking Out Loud,Dance like nobody's watching,105
65,1-800-273-8255,Dance around a bit,104
66,Sober,Dance around a bit,104
67,679 (feat. Remy Boyz),Dance around a bit,103
68,Deja Vu,Dance around a bit,103
69,Don't Stop Believin',No Dancing Here,103
70,My Girl,Dance around a bit,103
71,Paris,Dance around a bit,103
72,Wagon Wheel,Dance around a bit,103
73,Alive,Dance around a bit,102
74,Hallelujah,No Dancing Here,102
75,Uptown Funk,Dance like nobody's watching,102
76,Cold Water (feat. Justin Bieber & MØ),Dance around a bit,101
77,Heathens,Dance like nobody's watching,101
78,Selfish,Dance around a bit,101
