,track_name,artist_name,popularity,danceability,SUM(popularity)
0,Closer,Ne-Yo,7.0,Dance like nobody's watching,19828.0
1,Roses,The Chainsmokers,32.0,Dance like nobody's watching,6388.0
2,Home,Johnnyswim,47.0,Dance around a bit,8854.0
3,Congratulations,Post Malone,85.0,Dance around a bit,12666.0
4,Ride,Ciara,57.0,Dance around a bit,12558.0
5,Trap Queen,Fetty Wap,73.0,Dance like nobody's watching,9547.0
6,Forever,Chris Brown,38.0,Dance around a bit,3183.0
7,HUMBLE.,Kendrick Lamar,84.0,Dance like nobody's watching,14952.0
8,Don't Let Me Down,The Chainsmokers,41.0,Dance around a bit,5449.0
9,Let Me Love You,DJ Snake,25.0,No Dancing Here,7305.0
10,One Dance,Drake,23.0,Dance like nobody's watching,4059.0
11,Panda,Desiigner,0.0,Dance like nobody's watching,1411.0
12,Ni**as In Paris,JAY Z,72.0,Dance like nobody's watching,8352.0
13,Mr. Brightside,The Killers,78.0,No Dancing Here,8470.0
14,Bad and Boujee (feat. Lil Uzi Vert),Migos,77.0,Dance like nobody's watching,11319.0
15,Riptide,Vance Joy,76.0,No Dancing Here,9917.0
16,Sorry,Justin Bieber,23.0,Dance around a bit,3728.0
17,No Problem (feat. Lil Wayne & 2 Chainz),Chance The Rapper,74.0,Dance around a bit,8954.0
18,Stay,Lisa Loeb & Nine Stories,6.0,Dance around a bit,7093.0
19,September,"Earth, Wind & Fire",59.0,Dance around a bit,6067.0
20,T-Shirt,Migos,73.0,Dance like nobody's watching,9036.0
21,Lean On (feat. MØ & DJ Snake),Major Lazer,15.0,Dance like nobody's watching,1755.0
22,Slide,The Goo Goo Dolls,69.0,No Dancing Here,8000.0
23,Unforgettable,French Montana,83.0,Dance like nobody's watching,9379.0
24,Hurricane,Bridgit Mendler,63.0,Dance like nobody's watching,6944.0
25,Despacito - Remix,Luis Fonsi,28.0,Dance around a bit,3080.0
26,goosebumps,Travis Scott,84.0,Dance like nobody's watching,10164.0
27,XO TOUR Llif3,Lil Uzi Vert,85.0,Dance like nobody's watching,9945.0
28,iSpy (feat. Lil Yachty),KYLE,77.0,Dance like nobody's watching,10024.0
29,This Is What You Came For,Calvin Harris,79.0,Dance around a bit,7268.0
30,Alright,Darius Rucker,65.0,Dance around a bit,7312.0
31,Hey Ya! - Radio Mix / Club Mix,OutKast,77.0,Dance like nobody's watching,6622.0
32,Alive,Sia,58.0,Dance around a bit,4771.0
33,Gold Digger,Kanye West,20.0,Dance around a bit,2351.0
34,Cold Water (feat. Justin Bieber & MØ),Major Lazer,24.0,Dance around a bit,2424.0
35,Stronger,Clean Bandit,48.0,Dance like nobody's watching,6714.0
36,White Iverson,Post Malone,81.0,Dance around a bit,10949.0
